environment,split,artifact_id,path,description,rows,row_groups,size_bytes,sha256,has_assistant_prefix_span,has_prefix_mask,has_assistant_prefix_old_log_probs,has_prefix_token_count,manifest_summary_json
TextCraft,main,entropy_change_top3_w11,data/textcraft/main/main_change_top3_w11_fullflow.parquet,"Main TextCraft replay-validated Entropy-Change Top-3 dataset, w=11",5190,1,8160280,bc3d39e2f52e50b01e71fba616a35058868cacf0cb115693667be52d832d2099,True,True,True,True,"{""candidate_rank_counts"": {""1"": 1262, ""2"": 1251, ""3"": 1181}, ""candidate_rows"": 4399, ""positive_prefix_rows"": 3694, ""prefix_rows"": 3694, ""raw_rows"": 1496, ""replay_category_counts"": {""mismatch"": 1, ""unverifiable"": 704, ""validated"": 3694}, ""rows"": 5190, ""strategy_counts"": {""entropy_change_topk_w11_interaction_assistant_k3"": 3694, ""raw"": 1496}, ""unique_record_uid"": 5190, ""unique_sample_uid"": 1496, ""validated_rows"": 3694, ""variant_counts"": {""rank1"": 1262, ""rank2"": 1251, ""rank3"": 1181, ""raw"": 1496}, ""zero_prefix_rows"": 1496}"
TextCraft,ablation,fixed_gp1,data/textcraft/ablations/main_fixed_gp1_fullflow.parquet,Fixed-ratio group 1 replay-validated ablation,5513,1,9974954,28c8e90e5afd17c1af6ef86d856510dbd6c444bbdc3a6d1cbe4fed41dbd3ace1,True,True,True,True,"{""positive_prefix_rows"": 4017, ""prefix_rows"": 4017, ""raw_rows"": 1496, ""rows"": 5513, ""strategy_counts"": {""fixed_ratio_0p1"": 1342, ""fixed_ratio_0p3"": 1298, ""fixed_ratio_0p5"": 1377, ""raw"": 1496}, ""unique_record_uid"": 5513, ""unique_sample_uid"": 1496, ""variant_counts"": {""fixed_ratio_0p1"": 1342, ""fixed_ratio_0p3"": 1298, ""fixed_ratio_0p5"": 1377, ""raw"": 1496}, ""zero_prefix_rows"": 1496}"
TextCraft,ablation,fixed_gp2,data/textcraft/ablations/main_fixed_gp2_fullflow.parquet,Fixed-ratio group 2 replay-validated ablation,5627,1,12081952,64f9997e29881f49d52aa93c8a261e1ed707fca17f0ec24e532ca47031dd6076,True,True,True,True,"{""positive_prefix_rows"": 4131, ""prefix_rows"": 4131, ""raw_rows"": 1496, ""rows"": 5627, ""strategy_counts"": {""fixed_ratio_0p25"": 1320, ""fixed_ratio_0p5"": 1377, ""fixed_ratio_0p7"": 1434, ""raw"": 1496}, ""unique_record_uid"": 5627, ""unique_sample_uid"": 1496, ""variant_counts"": {""fixed_ratio_0p25"": 1320, ""fixed_ratio_0p5"": 1377, ""fixed_ratio_0p7"": 1434, ""raw"": 1496}, ""zero_prefix_rows"": 1496}"
TextCraft,ablation,raw_top3,data/textcraft/ablations/main_raw_top3_fullflow.parquet,Raw-entropy Top-3 replay-validated ablation,5239,1,8338033,6765e4b84711b2e6cb4b2492022df918e384a9b5fd9afc08e462119ebb316da3,True,True,True,True,"{""candidate_rank_counts"": {""1"": 1287, ""2"": 1242, ""3"": 1214}, ""candidate_rows"": 4399, ""positive_prefix_rows"": 3743, ""prefix_rows"": 3743, ""raw_rows"": 1496, ""replay_category_counts"": {""mismatch"": 1, ""unverifiable"": 655, ""validated"": 3743}, ""rows"": 5239, ""strategy_counts"": {""entropy_raw_topk_interaction_assistant_k3"": 3743, ""raw"": 1496}, ""unique_record_uid"": 5239, ""unique_sample_uid"": 1496, ""validated_rows"": 3743, ""variant_counts"": {""rank1"": 1287, ""rank2"": 1242, ""rank3"": 1214, ""raw"": 1496}, ""zero_prefix_rows"": 1496}"
TextCraft,ablation,entropy_change_top3_w5,data/textcraft/ablations/main_change_top3_w5_fullflow.parquet,"Window-size ablation, Entropy-Change Top-3 with w=5",5243,1,8324143,4fefed8313c8af00f9d4ed706cb6c7ebebabdec8d1523be0f7dbdf72df573a51,True,True,True,True,"{""candidate_rank_counts"": {""1"": 1281, ""2"": 1247, ""3"": 1219}, ""candidate_rows"": 4399, ""positive_prefix_rows"": 3747, ""prefix_rows"": 3747, ""raw_rows"": 1496, ""replay_category_counts"": {""mismatch"": 1, ""unverifiable"": 651, ""validated"": 3747}, ""rows"": 5243, ""strategy_counts"": {""entropy_change_topk_w5_interaction_assistant_k3"": 3747, ""raw"": 1496}, ""unique_record_uid"": 5243, ""unique_sample_uid"": 1496, ""validated_rows"": 3747, ""variant_counts"": {""rank1"": 1281, ""rank2"": 1247, ""rank3"": 1219, ""raw"": 1496}, ""zero_prefix_rows"": 1496}"
BabyAI,main,entropy_change_top3_w11,data/babyai/main/main_change_top3_w11_fullflow.parquet,"Main BabyAI replay-validated Entropy-Change Top-3 dataset, w=11",11833,1,68394084,b802228015335b3e19639c5af466e8b67343a005ca69fa0ed617703b87e5c1e2,True,True,True,True,"{""candidate_rank_counts"": {""1"": 3163, ""2"": 2857, ""3"": 2573}, ""candidate_rows"": 8795, ""positive_prefix_rows"": 8593, ""prefix_rows"": 8593, ""raw_rows"": 3240, ""replay_category_counts"": {""error"": 38, ""mismatch"": 164, ""validated"": 8593}, ""rows"": 11833, ""strategy_counts"": {""entropy_change_topk_w11_interaction_assistant_k3"": 8593, ""raw"": 3240}, ""unique_record_uid"": 11833, ""unique_sample_uid"": 3240, ""validated_rows"": 8593, ""variant_counts"": {""rank1"": 3163, ""rank2"": 2857, ""rank3"": 2573, ""raw"": 3240}, ""zero_prefix_rows"": 3240}"
BabyAI,ablation,fixed_gp1,data/babyai/ablations/main_fixed_gp1_fullflow.parquet,Fixed-ratio group 1 replay-validated ablation,12764,1,49482082,dafcd4e400a3905d15a75e48ff519a60fce97cd4bf02b1576010f6e254132f2f,True,True,True,True,"{""candidate_rank_counts"": {""1"": 3171, ""2"": 3175, ""3"": 3178}, ""candidate_rows"": 9720, ""positive_prefix_rows"": 9524, ""prefix_rows"": 9524, ""raw_rows"": 3240, ""replay_category_counts"": {""error"": 48, ""mismatch"": 148, ""validated"": 9524}, ""rows"": 12764, ""strategy_counts"": {""fixed_ratio_0p1"": 3171, ""fixed_ratio_0p3"": 3175, ""fixed_ratio_0p5"": 3178, ""raw"": 3240}, ""unique_record_uid"": 12764, ""unique_sample_uid"": 3240, ""validated_rows"": 9524, ""variant_counts"": {""fixed_ratio_0p1"": 3171, ""fixed_ratio_0p3"": 3175, ""fixed_ratio_0p5"": 3178, ""raw"": 3240}, ""zero_prefix_rows"": 3240}"
BabyAI,ablation,fixed_gp2,data/babyai/ablations/main_fixed_gp2_fullflow.parquet,Fixed-ratio group 2 replay-validated ablation,12772,1,65433103,12daf58d3a25d85fb7abc95cfb66217cec1d76b384b5ee75f1deece12e60f974,True,True,True,True,"{""candidate_rank_counts"": {""1"": 3176, ""2"": 3178, ""3"": 3178}, ""candidate_rows"": 9720, ""positive_prefix_rows"": 9532, ""prefix_rows"": 9532, ""raw_rows"": 3240, ""replay_category_counts"": {""error"": 54, ""mismatch"": 134, ""validated"": 9532}, ""rows"": 12772, ""strategy_counts"": {""fixed_ratio_0p25"": 3176, ""fixed_ratio_0p5"": 3178, ""fixed_ratio_0p7"": 3178, ""raw"": 3240}, ""unique_record_uid"": 12772, ""unique_sample_uid"": 3240, ""validated_rows"": 9532, ""variant_counts"": {""fixed_ratio_0p25"": 3176, ""fixed_ratio_0p5"": 3178, ""fixed_ratio_0p7"": 3178, ""raw"": 3240}, ""zero_prefix_rows"": 3240}"
BabyAI,ablation,raw_top3,data/babyai/ablations/main_raw_top3_fullflow.parquet,Raw-entropy Top-3 replay-validated ablation,11831,1,67055224,d8845b9fd96b02228c8215164da0b9b9e53d6a608c9856179f826ffb19c43b09,True,True,True,True,"{""candidate_rank_counts"": {""1"": 3162, ""2"": 2857, ""3"": 2572}, ""candidate_rows"": 8795, ""positive_prefix_rows"": 8591, ""prefix_rows"": 8591, ""raw_rows"": 3240, ""replay_category_counts"": {""error"": 37, ""mismatch"": 167, ""validated"": 8591}, ""rows"": 11831, ""strategy_counts"": {""entropy_raw_topk_interaction_assistant_k3"": 8591, ""raw"": 3240}, ""unique_record_uid"": 11831, ""unique_sample_uid"": 3240, ""validated_rows"": 8591, ""variant_counts"": {""rank1"": 3162, ""rank2"": 2857, ""rank3"": 2572, ""raw"": 3240}, ""zero_prefix_rows"": 3240}"
ALFWorld,main,entropy_change_top3_w11,data/alfworld/main/main_change_top3_w11_fullflow.parquet,"Main ALFWorld replay-validated Entropy-Change Top-3 dataset, w=11",38141,1,159540627,d9dab534653da693b434c4e0b9e0c26a70c0206e60f04e81148f1bddaab0ab52,True,True,True,True,"{""candidate_rank_counts"": {""1"": 9514, ""2"": 9517, ""3"": 9513}, ""candidate_rows"": 28791, ""positive_prefix_rows"": 28544, ""prefix_rows"": 28544, ""raw_rows"": 9597, ""replay_category_counts"": {""error"": 4, ""mismatch"": 243, ""validated"": 28544}, ""rows"": 38141, ""strategy_counts"": {""entropy_change_topk_w11_interaction_assistant_k3"": 28544, ""raw"": 9597}, ""unique_record_uid"": 38141, ""unique_sample_uid"": 9597, ""validated_rows"": 28544, ""variant_counts"": {""rank1"": 9514, ""rank2"": 9517, ""rank3"": 9513, ""raw"": 9597}, ""zero_prefix_rows"": 9597}"
